# Beijing Area Names and IDs

## Popular Areas
beijing 国贸/建外 r2578
beijing 三里屯/工体 r2580
beijing 南锣鼓巷/鼓楼东大街 r23023
beijing 王府井/东单 r1475
beijing 中关村 r1488
beijing 五道口 r1489
beijing 亚运村 r1470
beijing 远大路 r2872
beijing 五棵松 r2588
beijing 工人体育场 r23002
beijing 望京 r1471
beijing 大望路 r2078
beijing 航天桥 r1495
beijing 亮马桥/三元桥 r1469
beijing 蓝色港湾 r23010
beijing 西单 r1481

## Administrative Districts
beijing 西城区 r16
beijing 海淀区 r17
beijing 东城区 r15
beijing 石景山区 r328
beijing 朝阳区 r14
beijing 丰台区 r20
beijing 顺义区 r9158
beijing 房山区 r9157
beijing 大兴区 r5952
beijing 昌平区 r5950
beijing 通州区 r5951
beijing 密云区 c434
beijing 怀柔区 c4453
beijing 平谷区 c4455
beijing 延庆区 c435
beijing 门头沟区 c4454

## Metro Lines
beijing 1号线八通线 r96972
beijing 2号线 r2180
beijing 3号线 r102776
beijing 4号线大兴线 r3057
beijing 5号线 r2181
beijing 6号线 r8095
beijing 7号线 r66748
beijing 8号线 r7643
beijing 9号线 r7644
beijing 10号线 r2507
beijing 11号线 r94601
beijing 12号线 r102787
beijing 13号线 r2182
beijing 14号线 r8687
beijing 15号线 r6962
beijing 16号线 r82085
beijing 17号线 r94609
beijing 17号线北段 r101031

# Shanghai Area Names and IDs

## Popular Areas
shanghai 静安寺 r812
shanghai 陆家嘴 r801
shanghai 南京西路 r811
shanghai 打浦桥/田子坊 r838
shanghai 五角场/大学路 r854
shanghai 龙柏地区 r2528
shanghai 新天地/马当路 r836
shanghai 中山公园/江苏路 r842
shanghai 徐家汇 r865
shanghai 南京东路 r861
shanghai 漕河泾/田林 r872
shanghai 世纪公园/科技馆 r803
shanghai 天山 r840
shanghai 淮海路 r835
shanghai 人民广场/南京路 r860
shanghai 八佰伴 r802

## Administrative Districts
shanghai 静安区 r3
shanghai 长宁区 r4
shanghai 徐汇区 r2
shanghai 杨浦区 r10
shanghai 黄浦区 r6
shanghai 虹口区 r9
shanghai 普陀区 r7
shanghai 闵行区 r12
shanghai 宝山区 r13
shanghai 浦东新区 r5
shanghai 松江区 r5937
shanghai 嘉定区 r5938
shanghai 青浦区 r5939
shanghai 金山区 r8847
shanghai 奉贤区 r8846
shanghai 崇明区 c3580

## Metro Lines
shanghai 1号线 r1325
shanghai 2号线 r1326
shanghai 3号线 r1327
shanghai 4号线 r1328
shanghai 5号线支线 r90680
shanghai 5号线 r1329
shanghai 6号线 r1330
shanghai 7号线 r3110
shanghai 8号线 r1331
shanghai 9号线 r1332
shanghai 市域机场线 r103614
shanghai 10号线支线 r90243
shanghai 10号线 r6338
shanghai 11号线 r6339
shanghai 11号线支线 r90244
shanghai 12号线 r25986
shanghai 13号线 r8135
shanghai 14号线 r94812
shanghai 15号线 r93979
shanghai 16号线 r26247
shanghai 17号线 r83033
shanghai 18号线 r93971
shanghai 磁浮线 r90029
shanghai 浦江线 r88868

# Guangzhou Area Names and IDs

## Popular Areas
guangzhou 天河路/体育中心 r1519
guangzhou 珠江新城 r1522
guangzhou 北京路商业区 r1531
guangzhou 花城汇/高德置地 r30509
guangzhou 中山二三路/东山口 r1960
guangzhou 小北/淘金 r30560
guangzhou 江南大道沿线 r1537
guangzhou 江南西 r2602
guangzhou 天河北/广州东站 r1520
guangzhou 石牌/龙口 r1521
